Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,401,Research & Development,1,3,Life Sciences,1,1028,4,Female,86,2,1,Laboratory Technician,2,Married,3294,3708,5,Y,No,17,3,1,80,1,7,2,2,5,4,0,2
47,No,Non-Travel,543,Sales,2,4,Marketing,1,1235,3,Male,87,3,2,Sales Executive,2,Married,4978,3536,7,Y,No,11,3,4,80,1,4,3,1,1,0,0,0
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,208,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7
33,Yes,Travel_Rarely,527,Research & Development,1,4,Other,1,563,4,Male,63,3,1,Research Scientist,4,Single,2686,5207,1,Y,Yes,13,3,3,80,0,10,2,2,10,9,7,8
34,No,Travel_Rarely,546,Research & Development,10,3,Life Sciences,1,672,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,Y,No,14,3,2,80,2,1,3,3,1,0,1,0
32,No,Travel_Rarely,498,Research & Development,3,4,Medical,1,693,3,Female,93,3,2,Manufacturing Director,1,Married,6725,13554,1,Y,No,12,3,3,80,1,8,2,4,8,7,6,3
31,No,Travel_Rarely,154,Sales,7,4,Life Sciences,1,676,2,Male,41,2,1,Sales Representative,3,Married,2329,11737,3,Y,No,15,3,2,80,0,13,2,4,7,7,5,2
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,135,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,290,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2
40,No,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,1305,2,Female,47,3,2,Healthcare Representative,1,Divorced,4448,10748,2,Y,No,12,3,2,80,1,15,3,3,7,4,7,7
47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,348,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0
34,No,Travel_Rarely,704,Sales,28,3,Marketing,1,1447,4,Female,95,2,2,Sales Executive,3,Married,6712,8978,1,Y,No,21,4,4,80,2,8,2,3,8,7,1,7
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,375,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
43,No,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,662,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,Y,No,21,4,3,80,1,4,2,4,1,0,0,0
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,186,4,Female,72,3,1,Research Scientist,2,Married,2756,4673,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6
22,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1274,3,Female,79,3,1,Laboratory Technician,1,Married,2398,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0
46,Yes,Travel_Rarely,1254,Sales,10,3,Life Sciences,1,1334,3,Female,64,3,3,Sales Executive,2,Married,7314,14011,5,Y,No,21,4,3,80,3,14,2,3,8,7,0,7
44,Yes,Travel_Rarely,1376,Human Resources,1,2,Medical,1,790,2,Male,91,2,3,Human Resources,1,Married,10482,2326,9,Y,No,14,3,4,80,1,24,1,3,20,6,3,6
30,No,Travel_Rarely,793,Research & Development,16,1,Life Sciences,1,1234,2,Male,33,3,1,Research Scientist,4,Married,2862,3811,1,Y,No,12,3,2,80,1,10,2,2,10,0,0,8
40,No,Travel_Frequently,593,Research & Development,9,4,Medical,1,838,2,Female,88,3,3,Research Director,3,Single,13499,13782,9,Y,No,17,3,3,80,0,20,3,2,18,7,2,13
44,No,Travel_Frequently,383,Sales,1,5,Marketing,1,1052,1,Female,79,3,2,Sales Executive,3,Married,4768,9282,7,Y,No,12,3,3,80,1,11,4,2,1,0,0,0
29,No,Travel_Rarely,332,Human Resources,17,3,Other,1,1006,2,Male,51,2,3,Human Resources,1,Single,7988,9769,1,Y,No,13,3,1,80,0,10,3,2,10,9,0,9
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,377,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
46,No,Travel_Rarely,717,Research & Development,13,4,Life Sciences,1,1232,3,Male,34,3,2,Healthcare Representative,2,Single,5562,9697,6,Y,No,14,3,4,80,0,19,3,3,10,7,0,9
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,488,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
40,No,Travel_Rarely,1322,Research & Development,2,4,Life Sciences,1,1456,3,Male,52,2,1,Research Scientist,3,Single,2809,2725,2,Y,No,14,3,4,80,0,8,2,3,2,2,2,2
25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,1,684,3,Male,36,2,1,Sales Representative,2,Married,2413,18798,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,13,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,102,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
31,No,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,1,645,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Y,Yes,19,3,2,80,1,8,2,3,6,4,0,2
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,369,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
35,Yes,Travel_Rarely,763,Sales,15,2,Medical,1,1168,1,Male,59,1,2,Sales Executive,4,Divorced,5440,22098,6,Y,Yes,14,3,4,80,2,7,2,2,2,2,2,2
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,1139,2,Male,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13
40,Yes,Travel_Rarely,299,Sales,25,4,Marketing,1,947,4,Male,57,2,3,Sales Executive,2,Single,9094,17235,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0
32,No,Travel_Rarely,117,Sales,13,4,Life Sciences,1,623,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,2,Y,No,11,3,3,80,1,8,3,2,5,2,0,3
34,No,Travel_Frequently,702,Research & Development,16,4,Life Sciences,1,607,3,Female,100,2,1,Research Scientist,4,Single,2553,8306,1,Y,No,16,3,3,80,0,6,3,3,5,2,1,3
50,No,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,743,1,Male,64,3,1,Laboratory Technician,4,Married,2380,20165,4,Y,No,18,3,2,80,0,8,5,3,1,0,0,0
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,31,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,140,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7
50,No,Travel_Rarely,691,Research & Development,2,3,Medical,1,589,3,Male,64,3,4,Research Director,3,Married,17639,6881,5,Y,No,16,3,4,80,0,30,3,3,4,3,0,3
26,No,Travel_Frequently,1283,Sales,1,3,Medical,1,686,3,Male,52,2,2,Sales Executive,1,Single,4294,11148,1,Y,No,12,3,2,80,0,7,2,3,7,7,0,7
27,No,Travel_Rarely,511,Sales,2,2,Medical,1,1351,1,Female,89,4,2,Sales Executive,3,Single,6500,26997,0,Y,No,14,3,2,80,0,9,5,2,8,7,0,7
26,No,Travel_Rarely,482,Research & Development,1,2,Life Sciences,1,1350,2,Female,90,2,1,Research Scientist,3,Married,2933,14908,1,Y,Yes,13,3,3,80,1,1,3,2,1,0,1,0
45,No,Travel_Rarely,252,Research & Development,1,3,Other,1,245,3,Male,70,4,5,Manager,4,Married,19202,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7
27,No,Travel_Rarely,155,Research & Development,4,3,Life Sciences,1,1468,2,Male,87,4,2,Manufacturing Director,2,Married,6142,5174,1,Y,Yes,20,4,2,80,1,6,0,3,6,2,0,3
31,Yes,Travel_Frequently,754,Sales,26,4,Marketing,1,1396,1,Male,63,3,2,Sales Executive,4,Married,5617,21075,1,Y,Yes,11,3,3,80,0,10,4,3,10,7,0,8
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,321,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4
41,No,Travel_Rarely,337,Sales,8,3,Marketing,1,1357,3,Female,54,3,2,Sales Executive,2,Married,4393,26841,5,Y,No,21,4,3,80,1,14,3,3,5,4,1,4
58,No,Non-Travel,350,Sales,2,3,Medical,1,1302,2,Male,52,3,4,Manager,2,Divorced,16291,22577,4,Y,No,22,4,4,80,1,37,0,2,16,9,14,14
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,117,3,Female,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,205,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Y,Yes,19,3,2,80,0,17,2,3,1,0,0,0
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,493,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
33,No,Non-Travel,722,Sales,17,3,Life Sciences,1,711,4,Male,38,3,4,Manager,3,Single,17444,20489,1,Y,No,11,3,4,80,0,10,2,3,10,8,6,0
44,No,Travel_Rarely,1467,Research & Development,20,3,Life Sciences,1,1047,4,Male,49,3,1,Research Scientist,2,Single,3420,21158,1,Y,No,13,3,3,80,0,6,3,2,5,2,1,3
47,No,Travel_Rarely,955,Sales,4,2,Life Sciences,1,720,4,Female,83,3,2,Sales Executive,4,Single,4163,8571,1,Y,Yes,17,3,3,80,0,9,0,3,9,0,0,7
48,No,Travel_Rarely,969,Research & Development,2,2,Technical Degree,1,902,4,Male,76,4,1,Laboratory Technician,2,Single,2559,16620,5,Y,No,11,3,3,80,0,7,4,2,1,0,0,0
45,Yes,Travel_Rarely,1449,Sales,2,3,Marketing,1,914,1,Female,94,1,5,Manager,2,Single,18824,2493,2,Y,Yes,16,3,1,80,0,26,2,3,24,10,1,11
51,No,Travel_Rarely,942,Research & Development,3,3,Technical Degree,1,1276,1,Female,53,3,3,Manager,3,Married,13116,22984,2,Y,No,11,3,4,80,0,15,2,3,2,2,2,2
22,No,Non-Travel,457,Research & Development,26,2,Other,1,1138,2,Female,85,2,1,Research Scientist,3,Married,2814,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3
27,No,Travel_Rarely,1054,Research & Development,8,3,Medical,1,1249,3,Female,67,3,1,Research Scientist,4,Single,3445,6152,1,Y,No,11,3,3,80,0,6,5,2,6,2,1,4
38,No,Travel_Rarely,330,Research & Development,17,1,Life Sciences,1,785,3,Female,65,2,3,Healthcare Representative,3,Married,8823,24608,0,Y,No,18,3,1,80,1,20,4,2,19,9,1,9
33,Yes,Travel_Rarely,211,Sales,16,3,Life Sciences,1,1256,1,Female,74,3,3,Sales Executive,1,Single,8564,10092,2,Y,Yes,20,4,3,80,0,11,2,2,0,0,0,0
50,No,Travel_Rarely,813,Research & Development,17,5,Life Sciences,1,1178,4,Female,50,2,3,Research Director,1,Divorced,13269,21981,5,Y,No,15,3,3,80,3,19,3,3,14,11,1,11
32,Yes,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,657,1,Male,87,3,1,Laboratory Technician,4,Single,2795,18016,1,Y,Yes,24,4,3,80,0,1,2,1,1,0,0,1
39,No,Travel_Rarely,1387,Research & Development,10,5,Medical,1,1149,2,Male,76,3,2,Manufacturing Director,1,Married,5377,3835,2,Y,No,13,3,4,80,3,10,3,3,7,7,7,7
28,No,Travel_Rarely,580,Research & Development,27,3,Medical,1,1152,2,Female,39,1,2,Manufacturing Director,1,Divorced,4877,20460,0,Y,No,21,4,2,80,1,6,5,2,5,3,0,0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,29,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,427,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,342,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,119,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,189,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9
45,No,Travel_Rarely,1038,Research & Development,20,3,Medical,1,1035,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Y,Yes,18,3,2,80,1,24,2,3,7,7,0,7
34,No,Travel_Rarely,131,Sales,2,3,Marketing,1,918,3,Female,86,3,2,Sales Executive,1,Single,4538,6039,0,Y,Yes,12,3,4,80,0,4,3,3,3,2,0,2
20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,690,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,475,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4
39,No,Travel_Frequently,945,Research & Development,22,3,Medical,1,754,4,Female,82,3,3,Manufacturing Director,1,Single,10880,5083,1,Y,Yes,13,3,3,80,0,21,2,3,21,6,2,8
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,1,158,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0
31,No,Travel_Frequently,1125,Research & Development,1,3,Life Sciences,1,1390,4,Male,48,1,2,Research Scientist,1,Married,5003,5771,1,Y,No,21,4,2,80,0,10,6,3,10,8,8,7
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,426,2,Male,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
24,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,526,1,Female,65,3,2,Sales Executive,3,Single,4577,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0
55,No,Non-Travel,444,Research & Development,2,1,Medical,1,775,3,Male,40,2,4,Manager,1,Single,16756,17323,7,Y,No,15,3,2,80,0,31,3,4,9,7,6,2
46,No,Travel_Rarely,150,Research & Development,2,4,Technical Degree,1,878,4,Male,60,3,2,Manufacturing Director,4,Divorced,7379,17433,2,Y,No,11,3,3,80,1,12,3,2,6,3,1,4
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,383,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
40,No,Travel_Frequently,902,Research & Development,26,2,Medical,1,846,3,Female,92,2,2,Research Scientist,4,Married,4422,21203,3,Y,Yes,13,3,4,80,1,16,3,1,1,1,0,0
27,No,Travel_Rarely,1134,Research & Development,16,4,Technical Degree,1,718,3,Female,37,3,1,Laboratory Technician,2,Married,2811,12086,9,Y,No,14,3,2,80,1,4,2,3,2,2,2,2
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,435,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,239,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,Y,No,11,3,1,80,1,6,5,3,4,3,1,2
34,Yes,Travel_Rarely,1107,Human Resources,9,4,Technical Degree,1,1040,1,Female,52,3,1,Human Resources,3,Married,2742,3072,1,Y,No,15,3,4,80,0,2,0,3,2,2,2,2
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,30,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,1,175,3,Female,30,3,2,Sales Executive,1,Divorced,5006,6319,4,Y,Yes,11,3,1,80,1,9,3,4,5,4,0,3
55,No,Travel_Rarely,685,Sales,26,5,Marketing,1,1117,3,Male,60,2,5,Manager,4,Married,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13
46,No,Travel_Rarely,228,Sales,3,3,Life Sciences,1,1081,3,Female,51,3,4,Manager,2,Married,16606,11380,8,Y,No,12,3,4,80,1,23,2,4,13,12,5,1
28,No,Travel_Rarely,866,Sales,5,3,Medical,1,1042,4,Male,84,3,2,Sales Executive,1,Single,8463,23490,0,Y,No,18,3,4,80,0,6,4,3,5,4,1,3
60,No,Travel_Rarely,1179,Sales,16,4,Marketing,1,537,1,Male,84,3,2,Sales Executive,1,Single,5405,11924,8,Y,No,14,3,4,80,0,10,1,3,2,2,2,2
38,No,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1452,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,3,80,1,10,1,3,10,7,1,9
29,No,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,904,3,Male,82,3,2,Healthcare Representative,4,Divorced,6623,4204,1,Y,Yes,11,3,2,80,2,6,2,3,6,0,1,0
31,No,Non-Travel,1188,Sales,20,2,Marketing,1,680,4,Female,45,3,2,Sales Executive,3,Married,6932,24406,1,Y,No,13,3,4,80,1,9,2,2,9,8,0,0
37,Yes,Travel_Rarely,370,Research & Development,10,4,Medical,1,1292,4,Male,58,3,2,Manufacturing Director,1,Single,4213,4992,1,Y,No,15,3,2,80,0,10,4,1,10,3,0,8
23,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,517,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,329,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
49,No,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,1182,3,Female,41,2,4,Healthcare Representative,3,Married,13966,11652,2,Y,Yes,19,3,2,80,1,30,3,3,15,11,2,12
34,No,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,1180,4,Female,66,3,2,Research Scientist,2,Divorced,5433,19332,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9
47,No,Non-Travel,1169,Research & Development,14,4,Technical Degree,1,1371,3,Male,64,3,2,Research Scientist,2,Married,5467,2125,8,Y,No,18,3,3,80,1,16,4,4,8,7,1,7
45,No,Travel_Rarely,556,Research & Development,25,2,Life Sciences,1,1347,2,Female,93,2,2,Manufacturing Director,4,Married,5906,23888,0,Y,No,13,3,4,80,2,10,2,2,9,8,3,8
50,No,Non-Travel,145,Sales,1,3,Life Sciences,1,752,4,Female,95,3,2,Sales Executive,3,Married,6347,24920,0,Y,No,12,3,1,80,1,19,3,3,18,7,0,13
33,No,Travel_Rarely,1216,Sales,8,4,Marketing,1,500,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2
32,No,Non-Travel,1200,Research & Development,1,4,Technical Degree,1,1114,4,Male,62,3,2,Research Scientist,1,Married,4087,25174,4,Y,No,14,3,2,80,1,9,3,2,6,5,1,2
48,No,Travel_Rarely,817,Sales,2,1,Marketing,1,521,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2
34,No,Travel_Rarely,970,Research & Development,8,2,Medical,1,550,2,Female,96,3,2,Healthcare Representative,3,Single,6142,7360,3,Y,No,11,3,4,80,0,10,2,3,5,1,4,3
44,Yes,Travel_Rarely,621,Research & Development,15,3,Medical,1,929,1,Female,73,3,3,Healthcare Representative,4,Married,7978,14075,1,Y,No,11,3,4,80,1,10,2,3,10,7,0,5
30,No,Travel_Rarely,634,Research & Development,17,4,Medical,1,949,2,Female,95,3,3,Manager,1,Married,11916,25927,1,Y,Yes,23,4,4,80,2,9,2,3,9,1,0,8
35,No,Non-Travel,208,Research & Development,8,4,Life Sciences,1,1158,3,Female,52,3,2,Healthcare Representative,3,Married,4148,12250,1,Y,No,12,3,4,80,1,15,5,3,14,11,2,9
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,299,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,Y,No,18,3,4,80,2,4,2,3,1,0,0,0
26,No,Travel_Rarely,1066,Research & Development,2,2,Medical,1,734,4,Male,32,4,2,Manufacturing Director,4,Married,5472,3334,1,Y,No,12,3,2,80,0,8,2,3,8,7,1,3
38,No,Travel_Rarely,322,Sales,7,2,Medical,1,278,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Y,Yes,24,4,3,80,1,8,3,3,8,0,7,7
43,No,Travel_Rarely,1179,Sales,2,3,Medical,1,1217,4,Male,73,3,2,Sales Executive,4,Married,7847,6069,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,480,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2
40,No,Travel_Frequently,580,Sales,5,4,Life Sciences,1,534,4,Male,48,2,3,Sales Executive,1,Married,10475,23772,5,Y,Yes,21,4,3,80,1,20,2,3,18,13,1,12
30,No,Non-Travel,111,Research & Development,9,3,Medical,1,174,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,Y,No,11,3,3,80,2,12,4,3,12,9,6,10
33,No,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,1106,1,Male,46,3,2,Sales Executive,1,Married,6392,10589,2,Y,No,13,3,4,80,1,8,6,1,2,2,2,2
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,104,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
18,No,Travel_Rarely,812,Sales,10,3,Medical,1,302,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
32,No,Travel_Rarely,371,Sales,19,3,Life Sciences,1,1242,4,Male,80,1,3,Sales Executive,3,Married,9610,3840,3,Y,No,13,3,3,80,1,10,2,1,4,3,0,2
